Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1919,-.28,-.36,-.20,-.45,-.21,-.22,-.71,-.58,-.31,-.23,-.18,-.15,-.32,.21
1920,-.28,-.31,-.24,-.26,-.26,-.32,-.04,-.22,-.36,-.38,-.14,-.19,-.48,-1.13
1921,-.20,-.13,-.27,.00,-.26,-.31,-.04,.15,-.10,-.30,-.22,-.23,-.38,-.83
1922,-.29,-.28,-.30,-.25,-.33,-.27,-.30,-.42,-.14,-.33,-.33,-.25,-.28,-.27
1923,-.27,-.23,-.31,-.16,-.31,-.34,.17,-.16,-.27,-.33,-.28,-.27,-.41,-.54
1924,-.28,-.19,-.36,-.14,-.26,-.43,.51,-.26,-.24,-.27,-.26,-.40,-.45,-.52
1925,-.23,-.15,-.30,-.05,-.25,-.38,-.05,.16,-.19,-.29,-.21,-.25,-.55,-.85
1926,-.11,.01,-.22,.01,.01,-.40,.57,.15,-.23,.00,.02,-.35,-.45,-.63
1927,-.22,-.14,-.30,-.14,-.16,-.38,.03,-.23,-.14,-.15,-.18,-.31,-.45,-1.37
1928,-.20,-.11,-.29,-.08,-.15,-.39,.66,-.18,-.24,-.15,-.16,-.29,-.48,-2.11
1929,-.37,-.34,-.38,-.39,-.28,-.45,.12,-.62,-.39,-.28,-.29,-.43,-.44,-1.07
1930,-.16,-.02,-.29,.03,-.11,-.42,.51,.03,-.11,-.09,-.13,-.33,-.46,-2.59
1931,-.10,.04,-.22,.00,.08,-.42,.56,-.05,-.15,.10,.05,-.42,-.40,-.40
1932,-.16,-.06,-.26,.02,-.16,-.35,.46,.18,-.22,-.19,-.14,-.21,-.53,-.98
1933,-.29,-.26,-.32,-.25,-.28,-.34,-.15,-.48,-.13,-.28,-.28,-.22,-.48,-1.14
1934,-.13,-.01,-.25,.17,-.25,-.26,.89,.30,-.14,-.26,-.24,-.15,-.38,-.56
1935,-.20,-.10,-.30,-.05,-.18,-.37,.33,-.05,-.17,-.16,-.20,-.30,-.41,-1.70
1936,-.15,-.04,-.26,-.03,-.13,-.30,.41,.10,-.27,-.05,-.21,-.26,-.33,-.03
1937,-.03,.12,-.17,.19,-.05,-.22,1.23,.03,-.04,.00,-.11,-.19,-.25,.37
1938,.00,.16,-.18,.38,-.23,-.09,1.52,.39,.02,-.18,-.27,-.06,-.11,-.86
1939,-.02,.08,-.13,.22,-.13,-.12,.55,.28,.07,-.12,-.13,-.04,-.18,-1.59
1940,.12,.17,.09,.10,.27,-.06,.99,-.02,-.10,.26,.29,.03,-.20,-.05
1941,.18,.22,.16,.01,.49,-.05,.02,-.10,.07,.54,.43,.03,-.15,-.46
1942,.06,.12,.01,.12,.07,-.01,.72,-.07,.05,.11,.03,.06,-.05,-.89
1943,.09,.17,-.01,.37,-.09,.04,1.43,.28,.10,-.11,-.07,.07,.00,1.15
1944,.20,.27,.14,.38,.18,.05,1.18,.47,.09,.10,.26,.18,-.09,-.96
1945,.09,.10,.09,.11,.17,-.03,.65,-.02,.03,.10,.24,.04,.00,-1.79
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.16,-.02,-.07,-.22,-.24,-.19
1947,-.03,.08,-.13,.15,-.06,-.16,1.07,-.13,.03,-.03,-.09,-.19,-.08,-.21
1948,-.11,-.02,-.20,.12,-.18,-.24,.12,.31,.00,-.23,-.14,-.19,-.19,-1.39
1949,-.11,-.03,-.19,.11,-.19,-.23,.20,.17,.04,-.23,-.15,-.17,-.15,-1.99
1950,-.18,-.15,-.21,-.05,-.29,-.14,.18,-.31,.03,-.30,-.28,-.06,-.16,-.86
1951,-.07,.04,-.18,.07,-.06,-.23,.07,.01,.12,-.01,-.12,-.22,-.16,-.70
1952,.01,.06,-.04,.11,.01,-.09,.27,-.10,.19,-.01,.04,-.10,-.02,-.51
1953,.08,.24,-.07,.35,.07,-.18,1.03,.35,.14,.08,.06,-.08,-.24,-1.12
1954,-.13,-.02,-.25,.06,-.21,-.22,.80,-.21,.00,-.14,-.29,-.17,-.20,-.81
1955,-.14,-.09,-.20,.05,-.34,-.06,-.23,-.11,.23,-.30,-.38,-.16,-.08,1.21
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.48,-.09,-.29,-.37,-.13,.02,.77
1957,.05,.04,.06,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.21,-.15,-.18,.14,.12,.26,.16,-.08,-.08,-.56
1959,.03,.12,-.06,.16,.08,-.16,.49,.18,.04,.07,.08,-.03,-.26,-.39
1960,-.03,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.03,-.10,-.07,-.78
1961,.06,.08,.03,.19,-.03,.05,-.16,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.07,.44,.31,.14,-.05,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.66,-.20,-.11,-.14,-.14,-.30,-.07,-.37
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,.00
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.12
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.31
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.34,-.02,-.08,-.02,-.11,-.14,.00,-.07
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.16
1970,.03,-.04,.09,-.11,.07,.11,-.21,-.13,-.06,.07,.06,.11,.03,.35
1971,-.08,-.15,-.01,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.48
1972,.01,-.17,.20,-.34,.17,.15,-.37,-.47,-.24,.07,.27,.16,-.02,.48
1973,.16,.09,.23,.11,.19,.18,.06,.27,.02,.08,.30,.21,.08,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.30,-.17,.13,.14,.30
1976,-.10,-.21,.01,-.26,-.11,.09,-.08,-.32,-.28,-.13,-.10,.10,.22,-.22
1977,.18,.12,.24,.14,.16,.25,.16,.24,.06,.10,.22,.21,.31,.28
